Time(IST),prs(m)
2024-01-07 08:30:00+05:30,0.48309193372966447
2024-01-07 09:30:00+05:30,0.37119893258445774
2024-01-07 10:30:00+05:30,0.32400358000739116
2024-01-07 11:30:00+05:30,0.3584173136936865
2024-01-07 12:30:00+05:30,0.4731329219613523
2024-01-07 13:30:00+05:30,0.6480612165891999
2024-01-07 14:30:00+05:30,0.8483930411405397
2024-01-07 15:30:00+05:30,1.0324398581939676
2024-01-07 16:30:00+05:30,1.1614227836745667
2024-01-07 17:30:00+05:30,1.2088258779994936
2024-01-07 18:30:00+05:30,1.1669614062077123
2024-01-07 19:30:00+05:30,1.0490251270912547
2024-01-07 20:30:00+05:30,0.8860082286153338
2024-01-07 21:30:00+05:30,0.7191167875992638
2024-01-07 22:30:00+05:30,0.5895078968245598
2024-01-07 23:30:00+05:30,0.5278835900390602
2024-01-08 00:30:00+05:30,0.5465885112524981
2024-01-08 01:30:00+05:30,0.6362884675426911
2024-01-08 02:30:00+05:30,0.7681896743418374
2024-01-08 03:30:00+05:30,0.9013627117204268
2024-01-08 04:30:00+05:30,0.9934110851046951
2024-01-08 05:30:00+05:30,1.0118143259330645
2024-01-08 06:30:00+05:30,0.9430261041611986
2024-01-08 07:30:00+05:30,0.7969025120492623
2024-01-08 08:30:00+05:30,0.6051689604382479
2024-01-08 09:30:00+05:30,0.4141327807244172
2024-01-08 10:30:00+05:30,0.2733372968297261
2024-01-08 11:30:00+05:30,0.222948226067446
2024-01-08 12:30:00+05:30,0.2830717269413048
2024-01-08 13:30:00+05:30,0.44780092418168066
2024-01-08 14:30:00+05:30,0.6856555594826826
2024-01-08 15:30:00+05:30,0.9464890515954429
2024-01-08 16:30:00+05:30,1.1732855472468868
2024-01-08 17:30:00+05:30,1.3159796100581944
2024-01-08 18:30:00+05:30,1.3438438698258293
2024-01-08 19:30:00+05:30,1.2532737345921767
2024-01-08 20:30:00+05:30,1.0689014417570002
2024-01-08 21:30:00+05:30,0.8376302312391782
2024-01-08 22:30:00+05:30,0.6169798140964818
2024-01-08 23:30:00+05:30,0.46061685462673885
2024-01-09 00:30:00+05:30,0.4047204526296084
2024-01-09 01:30:00+05:30,0.45868739403133524
2024-01-09 02:30:00+05:30,0.6026327638735823
2024-01-09 03:30:00+05:30,0.7924393787714429
2024-01-09 04:30:00+05:30,0.9711792135879146
2024-01-09 05:30:00+05:30,1.0840643186460248
